IDNUMBER,Hospital,Facility name,Address,Town,ZIP code,CHIA region,Type of hospital,Hospital system,Telephone,Facility type,norm_address,norm_name,Nursing homes within 30 minutes drive time,Hospitals within 30 minutes drive time
2014,North Shore Medical Center - Salem Hospital,Salem Hospital,81 Highland Avenue,Salem,1970,Northeastern Massachusetts,Community-High Public Payer Hospital,Mass General Brigham,(978) 741-1200,Hospital,81 highland avenue,north shore medical center  salem hospital,28.0,3.0
2059,New England Baptist Hospital,New England Baptist Hospital,125 Parker Hill Avenue,Boston,2120,Metro Boston,Specialty Hospital,Beth Israel Lahey Health,(617) 754-5000,Hospital,125 parker hill avenue,new england baptist hospital,48.0,18.0
2107,South Shore Hospital,South Shore Hospital,55 Fogg Road,Weymouth,2190,Metro South,Community Hospital,South Shore Health System,(781) 624-8000,Hospital,55 fogg road,south shore hospital,53.0,11.0
2058,Melrose-Wakefield Hospital,Melrose-Wakefield Hospital,585 Lebanon Street,Melrose,2176,Metro Boston,Community-High Public Payer Hospital,Tufts Medicine,(781) 979-3000,Hospital,585 lebanon street,melrosewakefield hospital,56.0,16.0
2022,Steward Morton Hospital,Morton Hospital,88 Washington Street,Taunton,2780,Metro South,Community-High Public Payer Hospital,Steward Health Care,(508) 828-7000,Hospital,88 washington street,steward morton hospital,31.0,4.0
2OWP,North Adams Regional Hospital,North Adams Regional,71 Hospital Avenue,North Adams,1247,Western Massachusetts,Community Hospital,Berkshire Health Systems,,Hospital,71 hospital avenue,north adams regional hospital,2.0,0.0
2011,Steward Saint Anne's Hospital,Saint Anne's Hospital,795 Middle Street,Fall River,2721,Southcoast,Community-High Public Payer Hospital,Steward Health Care,(508) 674-5600,Hospital,795 middle street,steward saint annes hospital,27.0,3.0
2036,Heywood Hospital,Heywood Memorial Hospital,242 Green Street,Gardner,1440,Central Massachusetts,Community-High Public Payer Hospital,Heywood Healthcare,(978) 632-3420,Hospital,242 green street,heywood hospital,11.0,2.0
2076,Baystate Noble Hospital,Baystate Noble Hospital,115 West Silver Street,Westfield,1085,Western Massachusetts,Community-High Public Payer Hospital,Baystate Health,(413) 568-2811,Hospital,115 west silver street,baystate noble hospital,22.0,3.0
2226,Athol Memorial Hospital,Athol Hospital,2033 Main Street,Athol,1331,Central Massachusetts,Community-High Public Payer Hospital,Heywood Healthcare,(978) 249-3511,Hospital,2033 main street,athol memorial hospital,4.0,1.0
2100,Sturdy Memorial Hospital,Sturdy Memorial Hospital,211 Park Street,Attleboro,2703,Metro West,Community-High Public Payer Hospital,Sturdy Memorial Foundation,(508) 222-5200,Hospital,211 park street,sturdy memorial hospital,18.0,2.0
2099,Lawrence General Hospital,Lawrence General Hospital,One General Street,Lawrence,1842,Northeastern Massachusetts,Community-High Public Payer Hospital,Lawrence General Hospital and Affiliates,(978) 683-4000,Hospital,one general street,lawrence general hospital,55.0,8.0
2114,Steward Norwood Hospital,Norwood Hospital,800 Washington Street,Norwood,2062,Metro West,Community-High Public Payer Hospital,Steward Health Care,(781) 769-4000,Hospital,800 washington street,steward norwood hospital,59.0,8.0
2069,Beth Israel Deaconess Medical Center East,BIDMC East,330 Brookline Avenue,Boston,2215,Metro Boston,Academic Medical Center,Beth Israel Lahey Health,(617) 667-7000,Hospital,330 brookline avenue,beth israel deaconess medical center east,61.0,20.0
2128,Saint Vincent Hospital,Saint Vincent Hospital,123 Summer Street,Worcester,1608,Central Massachusetts,Teaching Hospital,Tenet Healthcare,(508) 363-5000,Hospital,123 summer street,saint vincent hospital,41.0,5.0
2105,Milford Regional Medical Center,Milford Regional Medical Center,14 Prospect Street,Milford,1757,Metro West,Community Hospital,"Milford Regional Medical Ctr, Inc. & Affil.",(508) 473-1190,Hospital,14 prospect street,milford regional medical center,24.0,1.0
2139,Boston Children's Hospital,Boston Children's Hospital,300 Longwood Avenue,Boston,2115,Metro Boston,Specialty Hospital,Boston Children's Hospital and Subsid.,(617) 355-6000,Hospital,300 longwood avenue,boston childrens hospital,60.0,19.0
2103,UMass Memorial Marlborough Hospital,Marlborough Hospital,157 Union Street,Marlborough,1752,Metro West,Community-High Public Payer Hospital,UMass Memorial Health Care,(508) 481-5000,Hospital,157 union street,umass memorial marlborough hospital,45.0,6.0
2155,Cooley Dickinson Hospital,Cooley Dickinson Hospital,30 Locust Street,Northampton,1060,Western Massachusetts,Community-High Public Payer Hospital,Mass General Brigham,(413) 582-2000,Hospital,30 locust street,cooley dickinson hospital,22.0,4.0
