StateFIPS,State,CensusTract,Census Tract,Year,Value,Data Comment,Unnamed: 7,Age Group
25,Massachusetts,25001010100,"Barnstable County, MA - 25001010100",2020,26.9%,,,65 AND OLDER
25,Massachusetts,25001010206,"Barnstable County, MA - 25001010206",2020,34.4%,,,65 AND OLDER
25,Massachusetts,25001010208,"Barnstable County, MA - 25001010208",2020,29.7%,,,65 AND OLDER
25,Massachusetts,25001010304,"Barnstable County, MA - 25001010304",2020,46.1%,,,65 AND OLDER
25,Massachusetts,25001010306,"Barnstable County, MA - 25001010306",2020,39.6%,,,65 AND OLDER
25,Massachusetts,25001010400,"Barnstable County, MA - 25001010400",2020,49.0%,,,65 AND OLDER
25,Massachusetts,25001010500,"Barnstable County, MA - 25001010500",2020,41.8%,,,65 AND OLDER
25,Massachusetts,25001010600,"Barnstable County, MA - 25001010600",2020,50.2%,,,65 AND OLDER
25,Massachusetts,25001010700,"Barnstable County, MA - 25001010700",2020,43.2%,,,65 AND OLDER
25,Massachusetts,25001010800,"Barnstable County, MA - 25001010800",2020,34.4%,,,65 AND OLDER
25,Massachusetts,25001010900,"Barnstable County, MA - 25001010900",2020,33.1%,,,65 AND OLDER
25,Massachusetts,25001011002,"Barnstable County, MA - 25001011002",2020,31.5%,,,65 AND OLDER
25,Massachusetts,25001011100,"Barnstable County, MA - 25001011100",2020,30.0%,,,65 AND OLDER
25,Massachusetts,25001011200,"Barnstable County, MA - 25001011200",2020,41.4%,,,65 AND OLDER
25,Massachusetts,25001011300,"Barnstable County, MA - 25001011300",2020,45.2%,,,65 AND OLDER
25,Massachusetts,25001011400,"Barnstable County, MA - 25001011400",2020,42.4%,,,65 AND OLDER
25,Massachusetts,25001011500,"Barnstable County, MA - 25001011500",2020,29.9%,,,65 AND OLDER
25,Massachusetts,25001011600,"Barnstable County, MA - 25001011600",2020,22.9%,,,65 AND OLDER
25,Massachusetts,25001011700,"Barnstable County, MA - 25001011700",2020,39.2%,,,65 AND OLDER
25,Massachusetts,25001011801,"Barnstable County, MA - 25001011801",2020,61.6%,,,65 AND OLDER
25,Massachusetts,25001011802,"Barnstable County, MA - 25001011802",2020,29.0%,,,65 AND OLDER
25,Massachusetts,25001012001,"Barnstable County, MA - 25001012001",2020,41.0%,,,65 AND OLDER
25,Massachusetts,25001012002,"Barnstable County, MA - 25001012002",2020,28.3%,,,65 AND OLDER
25,Massachusetts,25001012101,"Barnstable County, MA - 25001012101",2020,18.1%,,,65 AND OLDER
25,Massachusetts,25001012102,"Barnstable County, MA - 25001012102",2020,38.2%,,,65 AND OLDER
25,Massachusetts,25001012200,"Barnstable County, MA - 25001012200",2020,24.2%,,,65 AND OLDER
25,Massachusetts,25001012502,"Barnstable County, MA - 25001012502",2020,20.3%,,,65 AND OLDER
25,Massachusetts,25001012601,"Barnstable County, MA - 25001012601",2020,22.1%,,,65 AND OLDER
25,Massachusetts,25001012602,"Barnstable County, MA - 25001012602",2020,13.9%,,,65 AND OLDER
25,Massachusetts,25001012700,"Barnstable County, MA - 25001012700",2020,28.1%,,,65 AND OLDER
25,Massachusetts,25001012800,"Barnstable County, MA - 25001012800",2020,22.7%,,,65 AND OLDER
25,Massachusetts,25001012900,"Barnstable County, MA - 25001012900",2020,29.5%,,,65 AND OLDER
25,Massachusetts,25001013002,"Barnstable County, MA - 25001013002",2020,42.9%,,,65 AND OLDER
25,Massachusetts,25001013100,"Barnstable County, MA - 25001013100",2020,19.2%,,,65 AND OLDER
25,Massachusetts,25001013200,"Barnstable County, MA - 25001013200",2020,26.5%,,,65 AND OLDER
25,Massachusetts,25001013300,"Barnstable County, MA - 25001013300",2020,33.1%,,,65 AND OLDER
25,Massachusetts,25001013400,"Barnstable County, MA - 25001013400",2020,36.4%,,,65 AND OLDER
25,Massachusetts,25001013500,"Barnstable County, MA - 25001013500",2020,22.4%,,,65 AND OLDER
25,Massachusetts,25001013600,"Barnstable County, MA - 25001013600",2020,15.4%,,,65 AND OLDER
25,Massachusetts,25001013700,"Barnstable County, MA - 25001013700",2020,27.6%,,,65 AND OLDER
25,Massachusetts,25001013800,"Barnstable County, MA - 25001013800",2020,20.3%,,,65 AND OLDER
25,Massachusetts,25001013900,"Barnstable County, MA - 25001013900",2020,34.3%,,,65 AND OLDER
25,Massachusetts,25001014002,"Barnstable County, MA - 25001014002",2020,33.0%,,,65 AND OLDER
25,Massachusetts,25001014100,"Barnstable County, MA - 25001014100",2020,0.0%,,,65 AND OLDER
25,Massachusetts,25001014300,"Barnstable County, MA - 25001014300",2020,33.4%,,,65 AND OLDER
25,Massachusetts,25001014402,"Barnstable County, MA - 25001014402",2020,22.5%,,,65 AND OLDER
25,Massachusetts,25001014500,"Barnstable County, MA - 25001014500",2020,26.0%,,,65 AND OLDER
25,Massachusetts,25001014600,"Barnstable County, MA - 25001014600",2020,32.4%,,,65 AND OLDER
